Statistics for the Long Run Time Average SendRate2.log with Accuracy 0.95
Point Estimation:	Confidence Interval:			Confidence Level:	Relative Error:		Accurate:
-------------------------------------------------------------------------------------------------------------------------
Not Specified		[-inf, inf]				0.9			inf			false
Not Specified		[-inf, inf]				0.9			inf			false
532.202057852105	[522.523930306541, 541.880185397669]	0.9			0.0185218838491981		true
532.202057852105	[522.523930306541, 541.880185397669]	0.9			0.0185218838491981		true
530.584090435812	[524.287687023123, 536.880493848501]	0.9			0.0120094436099381		true
528.433581225888	[522.346313336827, 534.520849114949]	0.9			0.011653701258413		true
524.239360027595	[514.679007646225, 533.799712408964]	0.9			0.0185753688014043		true
521.580903586896	[512.284325554252, 530.877481619539]	0.9			0.0181473013498608		true
518.55953502907	[508.791401906118, 528.327668152022]	0.9			0.0191986992829618		true
514.324423115155	[502.496245332479, 526.152600897831]	0.9			0.0235388381356958		true
511.972902198303	[500.680907886322, 523.264896510284]	0.9			0.0225532752180454		true
510.358416821937	[499.856185952284, 520.860647691589]	0.9			0.0210105049508286		true
506.968878359886	[495.452920064657, 518.484836655115]	0.9			0.02324329482956		true
508.357440220914	[497.426517653596, 519.288362788232]	0.9			0.0219749494234451		true
509.74482166598	[499.262877676041, 520.226765655918]	0.9			0.0209948395096576		true
510.98375320138	[500.923946995667, 521.043559407093]	0.9			0.0200825020765085		true
513.053888570924	[502.776836385072, 523.330940756775]	0.9			0.020440584056622		true
514.263071904193	[504.309846242007, 524.216297566379]	0.9			0.0197363302270513		true
514.807522371753	[505.372715069387, 524.242329674118]	0.9			0.0186690080826187		true
516.926962987478	[507.048616771473, 526.805309203483]	0.9			0.0194820494312827		true
516.736772456299	[507.393341554352, 526.080203358246]	0.9			0.0184145713724268		true
515.889956349525	[506.905141794677, 524.874770904372]	0.9			0.0177248439876489		true
515.906950349127	[507.35965140989, 524.454249288364]	0.9			0.0168466272701926		true
516.443176155717	[508.206414573382, 524.679937738052]	0.9			0.0162075120386849		true
516.84208614557	[508.918572420292, 524.765599870848]	0.9			0.0155693153181577		true
516.497715701071	[508.893146022911, 524.102285379232]	0.9			0.0149433525241821		true
515.742746569846	[508.323331695701, 523.162161443991]	0.9			0.0145958574228619		true
516.656580679798	[509.280573408504, 524.032587951092]	0.9			0.0144831899279565		true
516.725396950407	[509.624248127121, 523.826545773693]	0.9			0.0139340874171169		true
514.971298833169	[507.346412275554, 522.596185390784]	0.9			0.01502895531165		true
516.053215965204	[508.366249908617, 523.740182021791]	0.9			0.0151209213002798		true
513.768316804129	[505.131292871725, 522.405340736532]	0.9			0.0170985723004827		true
512.670826088346	[504.080686679863, 521.260965496829]	0.9			0.0170411992275726		true
512.596746454979	[504.280659246783, 520.912833663175]	0.9			0.0164909898004359		true
512.529184079449	[504.470193750122, 520.588174408775]	0.9			0.0159751565685532		true
512.669084386527	[504.841020304085, 520.49714846897]	0.9			0.015505998458143		true
511.496271109011	[503.588291365241, 519.404250852782]	0.9			0.0157032637163421		true
510.974291719335	[503.238214352699, 518.710369085972]	0.9			0.0153725952163379		true
511.399595135397	[503.815837844536, 518.983352426257]	0.9			0.0150526377322825		true
510.474928140668	[502.900841265457, 518.049015015879]	0.9			0.0150607957945585		true
510.487439990661	[503.109584600266, 517.865295381056]	0.9			0.0146645097136378		true
510.231963578291	[503.031302151559, 517.432625005023]	0.9			0.0143145394649069		true
511.139951480016	[503.870884646789, 518.409018313243]	0.9			0.0144264474386572		true
512.018374360311	[504.694713155358, 519.342035565263]	0.9			0.0145110717708231		true
511.317847998142	[504.056004011783, 518.579691984501]	0.9			0.0144068197354295		true
511.712815538701	[504.564100439375, 518.861530638026]	0.9			0.0141681009273169		true
511.508456493416	[504.514929913119, 518.501983073713]	0.9			0.013861882306439		true
510.953856995828	[504.043648492532, 517.864065499125]	0.9			0.0137095438539163		true
510.767114621773	[504.000920022119, 517.533309221428]	0.9			0.0134249647785514		true
511.628479748804	[504.771661020334, 518.485298477274]	0.9			0.0135840009611669		true
512.509806167653	[505.553790342063, 519.465821993243]	0.9			0.0137592002245375		true
513.058838324271	[506.143904695995, 519.973771952546]	0.9			0.0136619913114018		true
513.434061844101	[506.605819044169, 520.262304644032]	0.9			0.0134784136763659		true
513.084162400563	[506.363117148293, 519.805207652833]	0.9			0.0132731729951452		true
513.424894182402	[506.788893032512, 520.060895332292]	0.9			0.0130942118920194		true
513.79322548358	[507.231564760178, 520.354886206982]	0.9			0.0129362231755117		true
513.983420887666	[507.526277274162, 520.440564501169]	0.9			0.0127227769332142		true
