Statistics for the Long Run Sample Average Latency3.log with Accuracy 0.95
Point Estimation:	Confidence Interval:			Confidence Level:	Relative Error:		Accurate:
-------------------------------------------------------------------------------------------------------------------------
Not Specified		[-inf, inf]				0.95			inf			false
Not Specified		[-inf, inf]				0.95			inf			false
0.00771161345628418	[0.00586818259524508, 0.00955504431732327]	0.95			0.314139996688721		false
0.00824680893720088	[0.00675246260027607, 0.0097411552741257]	0.95			0.221303904276896		false
0.00770398739848444	[0.00620450702435748, 0.0092034677726114]	0.95			0.241675989444503		false
0.00760064714126708	[0.00642162696496346, 0.0087796673175707]	0.95			0.18360147400906		false
0.00771142420613677	[0.00672457750956633, 0.00869827090270721]	0.95			0.146752222748055		false
0.00752281704704932	[0.00661052884190396, 0.00843510525219468]	0.95			0.138005328614919		false
0.00782687706599281	[0.00683725351139789, 0.00881650062058773]	0.95			0.144739924144276		false
0.00795669496986809	[0.00704759690480259, 0.00886579303493359]	0.95			0.128994049652016		false
0.0077888960793472	[0.00691178186524683, 0.00866601029344758]	0.95			0.126901315927026		false
0.00785167247425478	[0.00704880885329115, 0.00865453609521841]	0.95			0.113900608978603		false
0.00801353935845229	[0.00721491055775228, 0.00881216815915229]	0.95			0.11069143467647		false
0.00773743689005521	[0.00682500719426813, 0.00864986658584229]	0.95			0.13368919179358		false
0.00765569693536899	[0.00679589359388023, 0.00851550027685775]	0.95			0.126518070009664		false
0.00742318430768973	[0.00650211375478079, 0.00834425486059868]	0.95			0.141657096083826		false
0.00735046559550645	[0.00647717396615423, 0.00822375722485866]	0.95			0.134826026584357		false
0.00725220458422293	[0.00640958588345686, 0.00809482328498901]	0.95			0.131462268559483		false
0.0072974789798786	[0.00649810997916949, 0.00809684798058772]	0.95			0.123015615813151		false
0.00726746107375656	[0.00650904822365222, 0.0080258739238609]	0.95			0.116516704753924		false
0.00732938559563106	[0.00659972698891376, 0.00805904420234835]	0.95			0.110558907655267		false
0.00739812966711263	[0.00669112858923318, 0.00810513074499209]	0.95			0.105662455660634		false
0.00733379053365871	[0.0066479980149425, 0.00801958305237492]	0.95			0.103157750224169		false
0.00721808785958241	[0.00652466103270196, 0.00791151468646286]	0.95			0.106277831661286		false
0.0072059838412057	[0.00654165447849427, 0.00787031320391713]	0.95			0.101553722364184		false
0.00719911758009055	[0.00656177314444781, 0.00783646201573328]	0.95			0.0971299101039505		false
0.00718378062633809	[0.00657070252199051, 0.00779685873068567]	0.95			0.0933048029941641		false
0.00720553621703884	[0.00661406253861789, 0.0077970098954598]	0.95			0.0894266836709636		false
0.00721399353063233	[0.00664379424427629, 0.00778419281698838]	0.95			0.0858243445524042		false
0.0071706821539514	[0.00661398586624213, 0.00772737844166066]	0.95			0.0841695611341791		false
0.00716087869167588	[0.00662271585937738, 0.00769904152397438]	0.95			0.0812601421721112		false
0.0072545559038879	[0.00670260976784394, 0.00780650203993186]	0.95			0.0823479443323621		false
0.00722624964316823	[0.00668895810137945, 0.00776354118495701]	0.95			0.0803251468532861		false
