,Sendrate1,Sendrate2,Sendrate3,Sendrate4,average
0.1,60.058858016841,62.4268802663274,60.7437519188659,60.6895152872088,60.97975137231077
0.2,121.870063634279,115.577598124664,118.407419143391,120.769845479898,119.156231595558
0.3,176.95828014652,175.168075290407,180.940597971493,181.642130402372,178.677270952698
0.4,236.177128071119,235.182070051317,237.182116466827,244.54972233924,238.27275923212576
