Latency Average,Latency Min,Latency Max,Sendrate Average,Sendrate Min,Sendrate Max,Interconnect,NumberOfNodes,Load Value,NIBufferCapacity
0.002789603552398981,0.00244068505077547,0.00305286197569124,150.2838750687962,143.466741528692,155.750996217987,Mesh,9.0,0.25,2.0
0.003713050188280687,0.00328197939776059,0.00446904182484517,240.56088999180778,235.638175299151,245.055500611,Mesh,9.0,0.4,2.0
0.008267945924791211,0.00512650026063713,0.0112088225690127,362.3096032360072,309.904713518005,407.344244822827,Mesh,9.0,0.7,2.0
0.021412991037207944,0.014738479193049,0.0283213865403587,56.26005255487818,54.1463889968961,57.6336831754101,Torus,9.0,0.1,2.0
0.03861691427503214,0.0351170856348433,0.0430841336135088,152.69478026792524,136.814028199997,165.938390256706,Torus,9.0,0.55,2.0
0.04138865249946047,0.0380139378251357,0.0451483475520803,152.5332861484491,126.988296108111,178.340364308192,Torus,9.0,0.7,2.0
0.042885923009517525,0.039109523634422,0.0485133545363499,151.73692872966,116.775192030636,189.17820467741,Torus,9.0,0.95,2.0
0.002526813114040953,0.00245919053513533,0.00261154827558929,251.0719557933839,245.438629446111,258.534457944749,Bus,9.0,0.45,2.0
0.005710885589535459,0.0056150729669482,0.00580503829316434,278.5802661564202,271.218500525589,288.249392397689,Bus,9.0,0.7,2.0
0.006818023176062627,0.00678636432960761,0.00683797663115864,278.00987221308696,277.192613033185,278.49118562688,Bus,9.0,0.9,2.0
