,Latency Average,Latency Min,Latency Max,Sendrate Average,Sendrate Min,Sendrate Max,Interconnect,NumberOfNodes,Load Value,NIBufferCapacity
5,0.0954644468828139,0.0822316610598355,0.11452855430246602,196.61879336124332,106.183423286861,319.71169717195596,Torus,12,0.95,8.0
6,0.00035896380166646846,0.00035274796073425603,0.000369212912031904,569.0767624927283,568.395529608649,569.461650382864,Bus,4,0.95,1.0
7,0.0003612603083951825,0.000353509159895865,0.00036535712276355097,569.5818976365423,568.650115233253,570.092715183864,Bus,4,0.95,2.0
8,0.00036245210799008647,0.000356598891720876,0.00036843082424071203,570.5933549710985,569.373321451533,572.17673879582,Bus,4,0.95,4.0
9,0.0003655085431198853,0.000350868722593458,0.000377966967426086,570.397056741174,568.099933747338,571.98297048136,Bus,4,0.95,6.0
10,0.000362077855013024,0.000353387990212555,0.000375275951056738,569.9801418656095,568.876595981988,571.5447674791599,Bus,4,0.95,8.0
11,0.0020930171914184553,0.0020858113341939897,0.00210137015771096,416.6945139772279,415.84426217222705,417.255766542585,Bus,6,0.95,1.0
12,0.0044471836272822075,0.00444049067892405,0.00445232641415156,417.157261061393,416.66862154041496,417.614909129722,Bus,6,0.95,2.0
13,0.009217336875765043,0.00918817933195562,0.0092640378782725,417.43758150843047,417.30246194591,417.514895242809,Bus,6,0.95,4.0
14,0.013977639480774968,0.0138651824381604,0.0140365846991087,417.88489494712957,417.81450305488295,417.97072149397303,Bus,6,0.95,6.0
15,0.018696424208590814,0.0185541204599681,0.0188069803575935,418.2940573232361,418.21972727861703,418.365820900996,Bus,6,0.95,8.0
16,0.0029271303229507053,0.0029200011683201,0.00293433750486972,312.6696336023835,312.443792107939,312.953018438907,Bus,8,0.95,1.0
17,0.006113531689066515,0.00610270830325995,0.006121721722420879,312.76789798576334,312.60305249577004,312.873007940871,Bus,8,0.95,2.0
18,0.012493063154305224,0.0124321830213982,0.0125189728811238,313.09151731552816,312.986405360802,313.19087476115004,Bus,8,0.95,4.0
19,0.0188556426123008,0.0188054111990429,0.0189190553646939,313.6920576754881,313.59944647935396,313.80153798807004,Bus,8,0.95,6.0
20,0.0252104227621276,0.0250051402215052,0.0253172824896544,313.72794645143716,313.610819709951,313.825087174111,Bus,8,0.95,8.0
21,0.00333221371795435,0.0033243673338520397,0.0033433219517342103,277.9135976326636,277.52686072268904,278.091576576438,Bus,9,0.95,1.0
