Statistics for the Long Run Sample Average Latency2.log with Accuracy 0.95
Point Estimation:	Confidence Interval:			Confidence Level:	Relative Error:		Accurate:
-------------------------------------------------------------------------------------------------------------------------
Not Specified		[-inf, inf]				0.95			inf			false
Not Specified		[-inf, inf]				0.95			inf			false
0.00103302347081851	[0.000964221595360543, 0.00110182534627648]	0.95			0.0713548377147104		false
0.00104881724677197	[0.000998457285029557, 0.00109917720851439]	0.95			0.050437772849667		false
0.00116047740332421	[0.000938749337461382, 0.00138220546918703]	0.95			0.236195176938749		false
0.00114523051217336	[0.000970900319228659, 0.00131956070511807]	0.95			0.179555191704131		false
0.00118312551995467	[0.00102257293118279, 0.00134367810872654]	0.95			0.1570084478827		false
0.00114316796169755	[0.000986497810178211, 0.0012998381132169]	0.95			0.158814494976974		false
0.00111961609775859	[0.000976298366094646, 0.00126293382942254]	0.95			0.146797061883082		false
0.00115630321947813	[0.00101088683164964, 0.00130171960730661]	0.95			0.143850313680697		false
0.00114512380787214	[0.00101322671428027, 0.00127702090146401]	0.95			0.130175302065108		false
0.00113466630728723	[0.00101361309502593, 0.00125571951954854]	0.95			0.119427435236723		false
0.00110549792038168	[0.000981079834875957, 0.00122991600588741]	0.95			0.126817493421884		false
0.00109401263108769	[0.000977371827357175, 0.0012106534348182]	0.95			0.119341278790395		false
0.00111478946884101	[0.0009993781868003, 0.00123020075088171]	0.95			0.115483090951002		false
0.00113223113809271	[0.00101948180244313, 0.00124498047374228]	0.95			0.110594750567765		false
0.00115380173794814	[0.00104017622819328, 0.001267427247703]	0.95			0.109236787647245		false
0.00114287177426536	[0.00103401057646891, 0.0012517329720618]	0.95			0.10528054574471		false
0.0011404517787689	[0.00103770691871537, 0.00124319663882242]	0.95			0.0990114435978868		false
0.00113311273695476	[0.00103486711644609, 0.00123135835746343]	0.95			0.0949354935985072		false
0.00112127077985444	[0.00102522039199642, 0.00121732116771247]	0.95			0.0936875510942435		false
0.00112644419322411	[0.00103452110201742, 0.00121836728443079]	0.95			0.0888556947049443		false
0.00112636131469428	[0.0010387159356114, 0.00121400669377716]	0.95			0.08437858328542		false
0.00111739204294692	[0.00103181883145662, 0.00120296525443722]	0.95			0.0829343377746764		false
0.00111013263921482	[0.00102697625562313, 0.00119328902280652]	0.95			0.0809720605869679		false
0.00109676768444519	[0.00101281558786389, 0.0011807197810265]	0.95			0.0828898148757424		false
0.00110335015403069	[0.00102166630997191, 0.00118503399808947]	0.95			0.0799515881668128		false
0.00109850421256757	[0.00101933212683094, 0.00117767629830419]	0.95			0.0776705488355075		false
0.00108628061502193	[0.0010063152104681, 0.00116624601957576]	0.95			0.0794635753509392		false
0.00108019875876425	[0.0010021246919957, 0.00115827282553279]	0.95			0.0779085351275611		false
0.00108467090120304	[0.00100873659643338, 0.0011606052059727]	0.95			0.0752766431178783		false
0.00108441315384294	[0.00101096744164307, 0.0011578588660428]	0.95			0.0726489391987687		false
0.00108063088585654	[0.00100913204120818, 0.00115212973050489]	0.95			0.0708518228821187		false
