,Sendrate1,Sendrate2,Sendrate3,Sendrate4,average
0.05,11.3831399766062,11.1215808751958,11.2130710886127,11.0749654603153,11.1981893501825
0.15,33.4073397596208,33.6618199531158,32.1490009551564,32.259890129823,32.869512699428995
0.25,55.579651317718,55.9133176980106,55.066513352519,54.9971377800038,55.38915503706285
0.35,79.516032414707,77.5939391704387,79.1669826782352,78.7878546975988,78.76620224024492
0.44999999999999996,101.094321179287,101.079060967923,100.52093396006,98.0858606684049,100.19504419391872
0.5499999999999999,122.753867867589,122.469391043958,124.413883176679,121.406983785199,122.76103146835624
0.65,146.035968304703,142.17985175804,143.764686887994,145.930695905992,144.47780071418225
0.75,162.581583392538,154.331701906353,156.630799136709,162.292437478612,158.959130478553
0.85,165.87799378459,166.19234846432,167.484760273886,166.636825301933,166.54798195618224
0.95,166.889944157099,166.912723475381,166.723716096761,166.862716798936,166.84727513204425
