Statistics for the Long Run Time Average SendRate3.log with Accuracy 0.95
Point Estimation:	Confidence Interval:			Confidence Level:	Relative Error:		Accurate:
-------------------------------------------------------------------------------------------------------------------------
Not Specified		[-inf, inf]				0.9			inf			false
Not Specified		[-inf, inf]				0.9			inf			false
161.413215467654	[152.843637803319, 169.982793131989]	0.9			0.0560676112365392		false
154.175097843882	[137.410563999629, 170.939631688136]	0.9			0.122003238734243		false
149.756592992067	[136.358967681946, 163.154218302188]	0.9			0.0982526161489463		false
150.502470240931	[139.735163611219, 161.269776870642]	0.9			0.0770550973101424		false
150.083511316646	[141.3202405345, 158.846782098793]	0.9			0.0620100188692142		false
146.380463910216	[136.09135100649, 156.669576813942]	0.9			0.0756044585319437		false
143.592897960823	[133.478287057292, 153.707508864355]	0.9			0.0757772003711012		false
146.042223409094	[135.6216590084, 156.462787809788]	0.9			0.076835547337235		false
144.530450061514	[134.997834057325, 154.063066065703]	0.9			0.070613103319429		false
147.827380913776	[136.853948375507, 158.800813452044]	0.9			0.0801835289995378		false
146.611499589188	[136.520672388782, 156.702326789595]	0.9			0.07391427996831		false
144.128774267555	[133.928819793255, 154.328728741854]	0.9			0.0761595188402725		false
143.926599934239	[134.500986047109, 153.352213821369]	0.9			0.0700783998998245		false
143.466459727048	[134.71143355496, 152.221485899137]	0.9			0.0649909658077892		false
143.834649978698	[135.556814676669, 152.112485280726]	0.9			0.061065430917457		false
144.48937064713	[136.522508454183, 152.456232840076]	0.9			0.0583556681103603		false
145.368149165849	[137.559160425798, 153.1771379059]	0.9			0.0567682204215205		false
145.7223647123	[138.257874459038, 153.186854965563]	0.9			0.053989621079222		false
146.608619388938	[139.224202604753, 153.993036173123]	0.9			0.0530397491673824		false
145.480117480965	[138.228063346045, 152.732171615885]	0.9			0.0524644125033084		false
144.884879202561	[137.936368325964, 151.833390079157]	0.9			0.0503747558452179		false
145.212335918368	[138.505941940878, 151.918729895859]	0.9			0.0484195398660429		true
145.212335918368	[138.505941940878, 151.918729895859]	0.9			0.0484195398660429		true
145.257964667017	[138.83040801032, 151.685521323715]	0.9			0.0462979022306124		true
146.106212041091	[139.648275594206, 152.564148487976]	0.9			0.0462442978218418		true
144.707879916706	[138.023840513096, 151.391919320315]	0.9			0.0484267020738012		true
145.253437976418	[138.680247770899, 151.826628181937]	0.9			0.0473981717740932		true
144.956088776522	[138.623793626435, 151.288383926608]	0.9			0.0456797133048518		true
144.638080479688	[138.525801490541, 150.750359468834]	0.9			0.0441237583423324		true
146.068094818274	[139.447889349601, 152.688300286947]	0.9			0.0474744042348046		true
145.106484113092	[138.51519538211, 151.697772844075]	0.9			0.0475853115811579		true
144.725802836655	[138.336763973283, 151.114841700028]	0.9			0.0461846777376318		true
145.471446398196	[139.045119635847, 151.897773160545]	0.9			0.0462175643358007		true
145.941281969292	[139.595888090782, 152.286675847802]	0.9			0.0454554497649934		true
146.130642115736	[139.939744159127, 152.321540072345]	0.9			0.0442397404240584		true
145.850150408322	[139.833499747522, 151.866801069123]	0.9			0.0430272479174452		true
146.305670800648	[140.34742466595, 152.263916935347]	0.9			0.0424535480353868		true
146.458437172208	[140.637592125624, 152.279282218792]	0.9			0.0413889697527287		true
145.874117163143	[140.136801257049, 151.611433069237]	0.9			0.040940822500795		true
145.651679110534	[140.060892827116, 151.242465393952]	0.9			0.0399168259645399		true
145.584529868505	[140.135312538306, 151.033747198703]	0.9			0.038885397488294		true
145.438376637312	[140.124075809383, 150.75267746524]	0.9			0.0379256797751003		true
145.724304271576	[140.482963519003, 150.965645024149]	0.9			0.0373094403853732		true
146.406483767091	[141.068647533485, 151.744320000697]	0.9			0.0378385724038299		true
146.200817324395	[140.982963861042, 151.418670787748]	0.9			0.037010524679394		true
145.928927044877	[140.818127374419, 151.039726715336]	0.9			0.036293620471672		true
145.258267117757	[140.132135235868, 150.384398999646]	0.9			0.036580702015714		true
145.634667637365	[140.535577443136, 150.733757831593]	0.9			0.0362832692404287		true
146.306377031391	[141.098804708358, 151.513949354424]	0.9			0.0369072745428038		true
146.350343953992	[141.243679920037, 151.457007987948]	0.9			0.0361549914080849		true
146.984485743814	[141.785935630463, 152.183035857165]	0.9			0.0366647798333108		true
146.925838541503	[141.831060823308, 152.020616259698]	0.9			0.0359214525268327		true
148.02500420861	[142.52833884341, 153.521669573811]	0.9			0.0385654208124835		true
147.886879840689	[142.496679448408, 153.27708023297]	0.9			0.037826849110772		true
148.535743304472	[143.049818987107, 154.021667621837]	0.9			0.0383497466561609		true
