Statistics for the Long Run Time Average SendRate8.log with Accuracy 0.95
Point Estimation:	Confidence Interval:			Confidence Level:	Relative Error:		Accurate:
-------------------------------------------------------------------------------------------------------------------------
Not Specified		[-inf, inf]				0.9			inf			false
Not Specified		[-inf, inf]				0.9			inf			false
62.724889331854	[46.3334880806187, 79.1162905830894]	0.9			0.353770068480812		false
56.4283430275735	[45.1234940255614, 67.7331920295857]	0.9			0.250531330654674		false
58.9442975908268	[48.2635692666034, 69.6250259150501]	0.9			0.221300009231063		false
60.6539861055545	[50.844321964142, 70.463650246967]	0.9			0.19293529272218		false
59.4068591990835	[51.5321500066218, 67.2815683915451]	0.9			0.152811578625184		false
56.3522464976285	[47.6520169942949, 65.0524760009621]	0.9			0.182578410151562		false
57.8304848769923	[49.261288905242, 66.3996808487425]	0.9			0.173953953747207		false
57.2873575131349	[49.817596056701, 64.7571189695688]	0.9			0.149942230209824		false
57.8155309411182	[50.8626459019506, 64.7684159802858]	0.9			0.136699239999643		false
57.8476267711098	[51.5255769698066, 64.1696765724131]	0.9			0.122697312152524		false
57.14109284736	[51.3800679146069, 62.9021177801131]	0.9			0.112125677652429		false
56.6197570238595	[51.3401774063328, 61.8993366413863]	0.9			0.102835242966565		false
56.8289574022179	[51.8706564801092, 61.7872583243265]	0.9			0.095589708297021		false
56.8644001636112	[52.234630499519, 61.4941698277033]	0.9			0.0886341038467724		false
57.1437215130653	[52.7233252520223, 61.5641177741082]	0.9			0.0838413783636184		false
56.8235043498093	[52.6782437940879, 60.9687649055306]	0.9			0.0786901813189628		false
57.119383001094	[53.118814998222, 61.1199510039661]	0.9			0.07531357774088		false
56.8709822965974	[53.0932827166164, 60.6486818765785]	0.9			0.0711521191888695		false
56.8637734649643	[53.279093572444, 60.4484533574846]	0.9			0.0672811726356832		false
56.6334916639647	[53.2253459145809, 60.0416374133484]	0.9			0.0640323832719352		false
56.1639007726451	[52.8436319830396, 59.4841695622506]	0.9			0.0628319565670872		false
56.4857609269423	[53.211187819478, 59.7603340344065]	0.9			0.0615391845521931		false
56.0103869793209	[52.794091785129, 59.2266821735128]	0.9			0.0609214987025845		false
55.7182171930166	[52.6159417612184, 58.8204926248148]	0.9			0.0589607508286549		false
56.3820737736345	[53.0741483711167, 59.6899991761522]	0.9			0.0623264904674		false
