Statistics for the Long Run Sample Average Latency4.log with Accuracy 0.95
Point Estimation:	Confidence Interval:			Confidence Level:	Relative Error:		Accurate:
-------------------------------------------------------------------------------------------------------------------------
Not Specified		[-inf, inf]				0.95			inf			false
Not Specified		[-inf, inf]				0.95			inf			false
0.00219768648290085	[0.0018321982757157, 0.002563174690086]	0.95			0.199480706880582		false
0.00225936314589434	[0.00201617564509673, 0.00250255064669195]	0.95			0.120618211706421		false
0.00221489635823476	[0.00202211207885093, 0.0024076806376186]	0.95			0.0953380781412392		false
0.0023986202948015	[0.00200879221646558, 0.00278844837313742]	0.95			0.194060926332049		false
0.0023790384100861	[0.00205843955071965, 0.00269963726945256]	0.95			0.155748493685117		false
0.00240870103739335	[0.00213157855983671, 0.00268582351494999]	0.95			0.13000809952689		false
0.00241389503384132	[0.00217368411816226, 0.00265410594952039]	0.95			0.110508658397961		false
0.0023984243158316	[0.00218441916828507, 0.00261242946337812]	0.95			0.0979689020557983		false
0.00239941539129831	[0.00220799351235168, 0.00259083727024493]	0.95			0.0866949462830393		false
0.00237799164113958	[0.00219982533008415, 0.00255615795219502]	0.95			0.0809911171668436		false
0.00232478430155217	[0.00213157988683197, 0.00251798871627238]	0.95			0.0906390681924441		false
0.00232227872572989	[0.00214448867736322, 0.00250006877409656]	0.95			0.0829055663680498		false
0.00230171877808754	[0.00213225634731319, 0.00247118120886189]	0.95			0.0794756366831241		false
0.00228770559490396	[0.0021275717197381, 0.00244783947006983]	0.95			0.075266029191991		false
0.00227632661812524	[0.00212488389928236, 0.00242776933696813]	0.95			0.0712710557475791		false
0.00227583019080281	[0.00213357119954796, 0.00241808918205767]	0.95			0.0666764677386889		false
0.00223879666635253	[0.0020862926091859, 0.00239130072351916]	0.95			0.0730981150463541		false
0.00223782001317945	[0.00209355291693324, 0.00238208710942565]	0.95			0.0689101742207376		false
0.00224913720699495	[0.00211048762971183, 0.00238778678427807]	0.95			0.065695517628811		false
0.00223536054122371	[0.00210074266825937, 0.00236997841418805]	0.95			0.0640810866548854		false
0.00225020105053107	[0.00211859343148928, 0.00238180866957287]	0.95			0.0621202808833776		false
0.00225627888400195	[0.0021299605045508, 0.00238259726345309]	0.95			0.059305503168372		false
0.00224554854411649	[0.00212279291334688, 0.0023683041748861]	0.95			0.0578274168892293		false
0.00224711944858915	[0.00212933613474676, 0.00236490276243155]	0.95			0.0553145705463741		false
0.00223262360579731	[0.00211594899059378, 0.00234929822100085]	0.95			0.0551405613850799		false
0.00223943490049151	[0.00212637377712216, 0.00235249602386087]	0.95			0.0531708604506819		false
0.002264145530143	[0.0021449171256806, 0.00238337393460541]	0.95			0.0555864853867365		false
0.0022519524493518	[0.0021344528598807, 0.0023694520388229]	0.95			0.0550490440335452		false
0.00224664784486098	[0.00213265733015501, 0.00236063835956695]	0.95			0.0534499908138935		false
0.00225093947053551	[0.0021403669715403, 0.00236151196953071]	0.95			0.0516605332008257		false
0.00224642108787001	[0.0021389940820769, 0.00235384809366313]	0.95			0.0502231430620916		false
0.00224447951446653	[0.00214028923289095, 0.00234866979604211]	0.95			0.0486804680294748		true
0.00224447951446653	[0.00214028923289095, 0.00234866979604211]	0.95			0.0486804680294748		true
0.00226202289975326	[0.00215525522490691, 0.0023687905745996]	0.95			0.0495382976514776		true
0.00223621511673516	[0.00212086123787784, 0.00235156899559247]	0.95			0.0543901113364399		false
0.00223177658615047	[0.00211933573383891, 0.00234421743846204]	0.95			0.0530547616954915		false
0.00224152738170663	[0.00213051035104443, 0.00235254441236883]	0.95			0.0521081864764355		false
0.00226369041230698	[0.00214722997827956, 0.0023801508463344]	0.95			0.0542375223918637		false
0.00227535287638197	[0.00215963779025807, 0.00239106796250587]	0.95			0.0535807840767915		false
0.00227778932948671	[0.00216490316485544, 0.00239067549411799]	0.95			0.0521437477961354		false
0.00227545613018572	[0.00216526277895154, 0.00238564948141989]	0.95			0.0508914448192435		false
0.00228992645556715	[0.00217871170342389, 0.00240114120771042]	0.95			0.0510461076463173		false
0.00228591196131003	[0.00217702972528431, 0.00239479419733574]	0.95			0.0500141246401642		false
0.00228356865427644	[0.00217709069430898, 0.00239004661424389]	0.95			0.0489083712707956		true
0.00229293844390553	[0.0021872458821303, 0.00239863100568075]	0.95			0.0483222131717011		true
0.00228570585143082	[0.00218136902299286, 0.00239004267986877]	0.95			0.0478308930484405		true
0.00229399438225653	[0.0021906172108587, 0.00239737155365436]	0.95			0.0471908879768669		true
0.00230805843263667	[0.0022031709425071, 0.00241294592276624]	0.95			0.0476075133826036		true
0.00229818687498594	[0.00219365606337659, 0.00240271768659529]	0.95			0.0476514132522905		true
0.0022845082675272	[0.00217863864759764, 0.00239037788745675]	0.95			0.0485943917529873		true
0.00229305140800535	[0.00218793622318427, 0.00239816659282644]	0.95			0.0480430753452697		true
0.00229393847802584	[0.00219084989676143, 0.00239702705929025]	0.95			0.0470541507278964		true
0.00230593361305766	[0.0022021118970745, 0.00240975532904082]	0.95			0.047146430715482		true
0.00229805436076029	[0.00219500963162341, 0.00240109908989717]	0.95			0.0469450009021914		true
0.00229960064850851	[0.00219840141827239, 0.00240079987874463]	0.95			0.046033099048691		true
0.00230880185620486	[0.0022078030913908, 0.00240980062101892]	0.95			0.0457462738447552		true
