Latency Average,Latency Min,Latency Max,Sendrate Average,Sendrate Min,Sendrate Max,NumberOfNodes,Load Value,NIBufferCapacity
0.000174021,0.000173652,0.00017439,265.3107649,262.8753445,267.7461853,2,0.45,2
0.000195695,0.000190052,0.000198597,274.993659,266.2313966,279.7416852,3,0.45,2
0.000227843,0.000225718,0.000230256,265.8007106,263.6013122,268.6467712,4,0.45,2
0.000344467,0.000333369,0.000353797,271.3444021,268.0512773,276.5203194,5,0.45,2
0.000612655,0.00060351,0.000630466,270.0771835,268.6831348,271.2492867,6,0.45,2
0.001072531,0.001054615,0.001095065,265.7747883,263.8127065,269.3689531,7,0.45,2
0.001772965,0.001736904,0.001804219,261.3235085,255.0957152,268.9009514,8,0.45,2
0.002590727,0.002539944,0.002644285,252.0911791,244.3837914,259.7827235,9,0.45,2
